商品編號,商品名稱,價格,規格,顏色,庫存狀態,運費,商品描述,注意事項
P001,經典純棉T恤,399,S/M/L/XL,白色/黑色/灰色,有貨,滿499免運,100%純棉材質舒適透氣,建議冷水手洗或機洗柔洗
P002,經典純棉T恤,399,S/M/L/XL,深藍色/酒紅色,有貨,滿499免運,100%純棉材質舒適透氣,建議冷水手洗或機洗柔洗
P003,休閒運動褲,599,S/M/L/XL/2XL,黑色/深灰色,有貨,滿499免運,彈性布料運動休閒兩用,可機洗不縮水
P004,輕薄防風外套,899,M/L/XL/2XL,黑色/深藍色/軍綠色,有貨,滿499免運,防潑水輕薄材質四季可穿,請勿使用烘乾機
P005,經典牛仔褲,799,28/30/32/34/36,深藍色/淺藍色,有貨,滿499免運,彈性丹寧舒適好穿,第一次下水請單獨洗滌
P006,針織毛衣,699,S/M/L/XL,米白色/淺灰色/咖啡色,部分缺貨,滿499免運,柔軟親膚保暖舒適,請使用洗衣袋清洗
P007,羽絨輕量外套,1299,S/M/L/XL/2XL,黑色/深藍色/酒紅色,有貨,免運,90%輕量羽絨超保暖,乾洗或專業清洗
P008,格紋襯衫,599,S/M/L/XL,藍白格/紅黑格,有貨,滿499免運,純棉格紋休閒百搭,建議低溫燙整
P009,素面POLO衫,499,S/M/L/XL/2XL,白色/黑色/深藍色/酒紅色,有貨,滿499免運,透氣排汗商務休閒兩用,可機洗
P010,運動短褲,399,S/M/L/XL,黑色/深灰色/深藍色,有貨,滿499免運,速乾透氣運動首選,可機洗
